priority,block,scientific_question,minimum_matrix,primary_script,example_command,status,notes
P0,heldout_gmg_detector,"Does the residual rule avoid false keeps on cases not used to choose thresholds?","102 frozen GMG cases across held-out cantilever and bridge seeds/q values",run_gmg_floor_detector_prospective.py,"python experiments/phase5/run_gmg_floor_detector_prospective.py --preset cantilever_gpu_medium --seeds 41,43,47,53,59,61,67,71 --probabilities 0.08,0.10,0.12,0.15,0.18,0.20,0.25,0.30,0.35 --raised-rho-mins 1e-3,1e-2 --out-dir experiments/phase5/results/heldout_gmg_detector_cantilever_s41_71_guarded_true_residual",completed_guarded,"Guarded policy converges 102/102; detector alone has 4 false keeps recovered by true-residual fallback."
P0,bridge_heldout,"Does the detector transfer beyond the single bridge seed already reported?","30 bridge frozen cases over seeds 41,43,47,53,59 and q=0.10...0.35",run_gmg_floor_detector_prospective.py,"python experiments/phase5/run_gmg_floor_detector_prospective.py --preset bridge_gpu_medium --seeds 41,43,47,53,59 --probabilities 0.10,0.15,0.20,0.25,0.30,0.35 --raised-rho-mins 1e-3,1e-2 --out-dir experiments/phase5/results/heldout_gmg_detector_bridge_s41_59_guarded_true_residual",completed,"All 30 bridge cases trigger raise to 1e-3 and pass true-residual convergence."
P0,fine_ladder_sweep,"Is the production ladder too coarse?","6 representative bridge cases swept through 1e-10...1e-2 after the 1e-12 probe",run_gmg_floor_detector_prospective.py,"python experiments/phase5/run_gmg_floor_detector_prospective.py --preset bridge_gpu_medium --seeds 23,41 --probabilities 0.10,0.20,0.35 --raised-rho-mins 1e-10,1e-8,1e-6,1e-5,1e-4,1e-3,1e-2 --out-dir experiments/phase5/results/fine_ladder_bridge_seed23_41_strict_true_residual",completed,"Selected floors: 1e-2 for 4 cases, 1e-3 for 1 case, and 1e-6 for 1 case."
P0,optimized_density_expansion,"Does the policy work on more non-random SIMP states?","16 optimized density states across cantilever, bridge, bracket, MBB, torsion, and column families",run_gmg_floor_detector_density_field.py,"python experiments/phase5/run_gmg_floor_detector_density_field.py --preset mbb_gpu_xlarge --density-paths experiments/paper2/runs/M500_MF/rho_best.npy,experiments/paper2/runs/M500_MF/rho_final.npy --raised-rho-mins 1e-3,1e-2 --out-dir experiments/phase5/results/optimized_density_M500_MF_strict_true_residual",completed,"All 16 pass; 14 keep 1e-12 and the 2 bridge states select 1e-2."
P0,policy_wall_time_memory,"What are the actual setup, solve, probe, ladder, and memory costs?","Held-out and optimized reruns now include setup/solve timing and GPU/CuPy memory fields",summarize_review_experiments.py,"python experiments/phase5/summarize_review_experiments.py",completed_partial,"Held-out wall-time comparison now covers guarded policy, full original-floor-then-fallback, severity-jump r50>=0.5, always 1e-3, and always 1e-2; memory fields are populated for guarded/strict detector runs and fixed-floor controls, but a full memory benchmark across every policy variant remains open."
P0,heldout_full_true_labels,"What is the full held-out confusion matrix rather than guarded policy success only?","Run every held-out case at the original floor to the full 300-iteration budget and classify true keep/raise labels",run_gmg_floor_detector_prospective.py,"python experiments/phase5/run_gmg_floor_detector_prospective.py --preset cantilever_gpu_medium --seeds 41 --probabilities 0.08,0.10,0.12,0.15,0.18,0.20,0.25,0.30,0.35 --raised-rho-mins 1e-3,1e-2 --high-residual-threshold 1e99 --plateau-residual-threshold 1e99 --out-dir experiments/phase5/results/heldout_full_true_labels_cantilever_s41",completed,"Full 102-case true-label audit: 78 true raises, 24 true keeps, TP/TN/FP/FN=74/24/0/4, sensitivity 0.948718, specificity 1.000000."
P0,policy_baselines,"Does the guarded probe policy beat simpler policy baselines?","Original-floor-then-fallback, always 1e-3, always 1e-2, fine ladder, severity jump, and detector-only negative control on the same cases",run_observed_queue.py,"python experiments/phase5/run_observed_queue.py --task fixed_floor_baselines --hard-timeout-min 75 --idle-timeout-min 25",completed_for_frozen_heldout,"Completed on the 102 held-out cases for guarded policy, full original-floor-then-fallback, always 1e-3, always 1e-2, severity-jump r50>=0.5, and detector-only negative control: convergence counts are 102/102, 102/102, 102/102, 102/102, 102/102, and 98/102; mean timed policies are 39.81 s, 126.20 s, 16.23 s, 6.49 s, and 39.61 s. Fine-ladder sweep remains a representative 6-case diagnostic, not a full 102-case timed policy."
P0,end_to_end_trajectories,"Does repeated adaptive floor use alter final topology or sensitivities?","At least benign and hard full optimization trajectories with original floor, fixed floors, and guarded adaptive policy",run_simp_floor_trajectory.py,"python experiments/phase5/run_simp_floor_trajectory.py --policy guarded_adaptive --presets cantilever_gpu_medium,bridge_gpu_medium --iters 40 --min-iter 20 --out-dir experiments/phase5/results/guarded_adaptive_trajectories",completed_guarded_adaptive_addendum,"Completed six fixed-floor 40-iteration controls plus two true guarded adaptive 40-iteration in-loop trajectories. The guarded cantilever run selected 1e-12 for 16 iterations and 1e-3 for 24; the guarded bridge run selected 1e-12 for 19 and 1e-3 for 21. Both completed 40/40, max accepted true residual <1e-6, no guard-failure fallbacks, and no 1e-2 selections. This is a narrow two-case addendum, not a broad trajectory-invariance suite."
P0,sensitivity_perturbation,"How much do raised floors perturb compliance sensitivities?","Sensitivity-difference metrics for fixed-floor controls and selected-floor cases",analyze_gmg_sensitivity_perturbation.py,"python experiments/phase5/run_observed_queue.py --task sensitivity_perturbation --hard-timeout-min 75 --idle-timeout-min 25",completed_true_keep_controls,"Completed for all 24 held-out true-keep cases using the floor-substituted Bernoulli convention: all 72 solves converged; fixed 1e-3 and 1e-2 floors give mean solid-sensitivity relative L2 shifts 0.340 and 0.555, with max shifts 0.988 and 0.998."
P1,reference_solver_comparison,"Does floor escalation solve a materially different equilibrium problem?","Reduced bridge and cantilever direct floor-perturbation comparisons plus robust moderate-size assembled/AMG references",compare_reduced_floor_perturbation.py,"python experiments/phase5/compare_reduced_floor_perturbation.py --preset cantilever_3d_large --seeds 19,41 --probabilities 0.10,0.20,0.35 --out-dir experiments/phase5/results/reduced_floor_perturbation_cantilever_3d_large_s19_41",partially_completed,"Only 3/12 reference-floor direct solves meet 1e-6 residual; sparse hard references remain ill-conditioned, so robust moderate-size reference work is still open."
P1,mechanism_ablation,"Which GMG component controls the admissibility boundary?","Locked sweeps over smoother, level count, precision path, restart length, tolerance, and iteration budget on representative hard cases",run_observed_queue.py,"python experiments/phase5/run_observed_queue.py --task mechanism_ablation --hard-timeout-min 75 --idle-timeout-min 25",completed_representative,"Completed 42 representative cases across canonical, 3-level, Jacobi smoother, W-cycle, no root correction, tol=1e-5, and tol=1e-7 variants. All variants passed 6/6 except no_root_correction, which passed 3/6, indicating root-local correction is the material stack component in this matrix."
P1,simp_exponent_sensitivity,"Is the p_SIMP=4.5 admissibility boundary stable under standard exponents?","Repeat representative direct/GMG policy cases for p=3, p=4, and p=4.5",run_observed_queue.py,"python experiments/phase5/run_observed_queue.py --task simp_exponent_policy_sensitivity --hard-timeout-min 75 --idle-timeout-min 25",completed_policy_and_fallback_sensitivity,"Completed both fallback-only and tuned-threshold policy sweeps. Tuned policy: 36/36 pass, 27 predicted raises, 9 predicted keeps, zero false keeps; p=3.0, 4.0, and 4.5 each retain the same accepted-floor counts of 1e-12:3, 1e-3:7, 1e-2:2."
P1,original_floor_sensitivity,"Would less extreme original floors avoid most failures?","Repeat representative cases with original floors 1e-9, 1e-8, and 1e-6",run_observed_queue.py,"python experiments/phase5/run_observed_queue.py --task original_floor_policy_sensitivity --hard-timeout-min 75 --idle-timeout-min 25",completed_policy_and_fallback_sensitivity,"Completed both fallback-only and tuned-threshold policy sweeps. Tuned policy: 48/48 pass with zero false keeps; rho0=1e-12, 1e-9, and 1e-8 each accept floors 1e-12/1e-9/1e-8:3, 1e-3:7, 1e-2:2; rho0=1e-6 accepts 1e-6:4 and 1e-3:8."
