case_key,preset,seed,solid_probability,trigger,predicted_raise_floor,recommended_rho_min_guarded,attempted_rho_mins_guarded,solve_converged_guarded,detector_false_keep,recorded_policy_time_s_guarded,post_solve_fallback_triggered,recommended_rho_min_full_label,attempted_rho_mins_full_label,solve_converged_full_label,solver_reported_converged,solve_iters,solve_final_rel_residual,recorded_policy_time_s_full_label,detector_predicted_raise,true_raise_floor,true_keep_original_floor,confusion_cell
cantilever_gpu_medium|41|80000,cantilever_gpu_medium,41,0.08,high_r50,1,0.001,1e-03,1,0,42.99792039999738,1,0.001,1e-12;1e-03,1,1,124,9.777433572709557e-07,167.30530029999997,True,True,False,TP
cantilever_gpu_medium|41|100000,cantilever_gpu_medium,41,0.1,high_r50,1,0.001,1e-03,1,0,42.32185309999477,1,0.001,1e-12;1e-03,1,1,125,9.237007449050456e-07,97.7931221,True,True,False,TP
cantilever_gpu_medium|41|120000,cantilever_gpu_medium,41,0.12,high_r50,1,0.001,1e-03,1,0,39.63741160000791,1,0.001,1e-12;1e-03,1,1,120,7.588255266148733e-07,97.4020339,True,True,False,TP
cantilever_gpu_medium|41|150000,cantilever_gpu_medium,41,0.15,high_r50,1,0.001,1e-03,1,0,43.38737789999868,1,0.001,1e-12;1e-03,1,1,101,8.748075591507376e-07,92.8639262000001,True,True,False,TP
cantilever_gpu_medium|41|180000,cantilever_gpu_medium,41,0.18,keep,0,1e-12,1e-12,1,0,76.47313790000044,0,1e-12,1e-12,1,1,246,9.430213620733432e-07,65.9038218,False,False,True,TN
cantilever_gpu_medium|41|200000,cantilever_gpu_medium,41,0.2,keep,0,1e-12,1e-12,1,0,43.84506170000532,0,1e-12,1e-12,1,1,122,9.870354290599764e-07,42.05718610000008,False,False,True,TN
cantilever_gpu_medium|41|250000,cantilever_gpu_medium,41,0.25,keep,0,1e-12,1e-12,1,0,21.218547500000568,0,1e-12,1e-12,1,1,57,7.360719581111126e-07,20.84902979999981,False,False,True,TN
cantilever_gpu_medium|41|300000,cantilever_gpu_medium,41,0.3,keep,0,1e-12,1e-12,1,0,12.573717399995076,0,1e-12,1e-12,1,1,34,7.946806743937334e-07,12.57510789999992,False,False,True,TN
cantilever_gpu_medium|41|350000,cantilever_gpu_medium,41,0.35,keep,0,1e-12,1e-12,1,0,10.302868099999614,0,1e-12,1e-12,1,1,27,7.171676613773822e-07,9.820619999999964,False,False,True,TN
cantilever_gpu_medium|43|80000,cantilever_gpu_medium,43,0.08,high_r50,1,0.001,1e-03,1,0,40.30377629998839,1,0.001,1e-12;1e-03,1,1,132,8.294425252169875e-07,118.0709777,True,True,False,TP
cantilever_gpu_medium|43|100000,cantilever_gpu_medium,43,0.1,high_r50,1,0.001,1e-03,1,0,44.61200920000556,1,0.001,1e-12;1e-03,1,1,126,8.220901312759436e-07,99.45560489999998,True,True,False,TP
cantilever_gpu_medium|43|120000,cantilever_gpu_medium,43,0.12,high_r50,1,0.001,1e-03,1,0,39.47725800000626,1,0.001,1e-12;1e-03,1,1,119,8.275956846440137e-07,104.58633749999996,True,True,False,TP
cantilever_gpu_medium|43|150000,cantilever_gpu_medium,43,0.15,high_r50,1,0.001,1e-03,1,0,37.464828600001056,1,0.001,1e-12;1e-03,1,1,104,7.761838772320879e-07,94.73775440000004,True,True,False,TP
cantilever_gpu_medium|43|180000,cantilever_gpu_medium,43,0.18,high_r50,1,0.001,1e-03,1,0,41.43931059999886,1,0.001,1e-12;1e-03,1,1,80,8.665505980099719e-07,105.45988470000005,True,True,False,TP
cantilever_gpu_medium|43|200000,cantilever_gpu_medium,43,0.2,high_r50,1,0.001,1e-03,1,0,32.14983010000287,1,0.001,1e-12;1e-03,1,1,69,9.183492053168068e-07,130.67737910000005,True,True,False,TP
